#x y z mass
#[Mpc/h] [Mpc/h] [Mpc/h] [Msun/h]
133.6156 155.1361 49.2830 0.7543E+14
173.4105 195.1301 57.6816 0.7543E+14
110.6170 164.4278 3.3028 0.7536E+14
58.3402 187.0666 45.2909 0.7486E+14
26.3860 116.9482 128.8074 0.7484E+14
183.0652 100.1600 134.9945 0.7482E+14
172.5005 19.7414 35.4033 0.7453E+14
18.5832 66.1109 24.7132 0.7434E+14
37.8442 139.0484 19.4197 0.7377E+14
11.5119 128.9120 23.9785 0.7361E+14
161.9210 136.0151 13.0050 0.7354E+14
5.0904 65.1800 36.7447 0.7354E+14
121.0326 41.0615 94.4241 0.7316E+14
131.2047 37.3978 118.5694 0.7290E+14
154.3335 196.1727 28.5186 0.7286E+14
110.4519 104.1496 15.0549 0.7275E+14
76.1806 3.4012 163.4367 0.7234E+14
45.6757 35.2003 33.3976 0.7229E+14
90.7813 148.2637 24.7159 0.7229E+14
119.6495 105.1063 96.2282 0.7205E+14
87.7692 120.5502 99.2017 0.7163E+14
175.6983 70.4351 169.7453 0.7154E+14
172.1831 24.8297 30.4694 0.7153E+14
96.4330 171.8166 190.2579 0.7149E+14
105.4280 32.2000 86.2388 0.7137E+14
150.4374 155.9779 154.1734 0.7135E+14
13.6363 56.9082 38.6931 0.7133E+14
143.7857 81.0424 141.9452 0.7111E+14
76.8987 150.0802 109.1682 0.7105E+14
31.9460 52.0974 114.4298 0.7102E+14
47.2833 175.0052 167.8470 0.7096E+14
2.6355 126.2188 67.8362 0.7082E+14
156.3808 98.2401 183.2247 0.7036E+14
155.1336 178.6310 116.6031 0.7021E+14
187.2647 10.2484 159.3748 0.7013E+14
169.6901 9.2257 75.4211 0.7005E+14
120.0804 24.8169 143.0742 0.6999E+14
20.3219 68.0776 173.7817 0.6997E+14
132.4262 165.8478 163.8307 0.6969E+14
66.7072 191.8726 199.2980 0.6964E+14
69.2584 25.0282 14.1258 0.6941E+14
17.0978 50.8361 160.8968 0.6918E+14
57.6004 177.4259 53.3091 0.6916E+14
64.7324 125.2076 55.9632 0.6912E+14
77.9645 194.2167 47.7939 0.6906E+14
73.1332 117.3283 66.6335 0.6863E+14
135.8483 189.6631 74.4669 0.6854E+14
44.5419 182.0928 175.3643 0.6834E+14
71.7205 86.0008 0.6430 0.6816E+14
27.6979 138.6400 76.0140 0.6775E+14
35.5757 90.9949 111.9007 0.6768E+14
71.6198 12.0771 9.8252 0.6764E+14
154.7230 34.6610 13.3146 0.6756E+14
77.7865 155.1696 32.3920 0.6746E+14
131.6594 26.5957 100.6346 0.6743E+14
115.4087 131.4367 122.2125 0.6723E+14
16.6542 130.2581 65.0338 0.6701E+14
75.7506 49.7244 58.2667 0.6685E+14
160.2223 37.2248 13.5804 0.6651E+14
61.5619 149.2042 136.5486 0.6646E+14
58.9147 197.8583 13.0164 0.6583E+14
147.1703 30.2376 10.9308 0.6583E+14
111.4935 55.8560 86.4822 0.6563E+14
42.3654 112.1649 107.2113 0.6559E+14
25.4203 52.7642 14.9653 0.6545E+14
75.2299 176.6481 197.8234 0.6542E+14
157.5963 171.3893 89.8137 0.6539E+14
83.1316 94.2792 111.9323 0.6509E+14
26.4271 114.0859 43.3561 0.6503E+14
118.4280 1.0985 63.0850 0.6485E+14
131.0191 25.7246 70.8925 0.6484E+14
114.3725 175.1392 55.2644 0.6481E+14
91.8622 188.7180 195.6541 0.6472E+14
128.8099 90.6521 98.7095 0.6453E+14
158.4671 163.0393 118.2843 0.6447E+14
59.2218 109.7490 99.4627 0.6437E+14
173.4831 86.8426 132.9014 0.6437E+14
166.6754 132.5558 22.3705 0.6429E+14
126.3955 142.2754 129.3406 0.6425E+14
103.8053 194.2939 61.5815 0.6424E+14
8.3351 195.5364 180.9483 0.6415E+14
190.5221 67.2487 160.7410 0.6404E+14
121.9892 36.5771 50.0678 0.6395E+14
91.3727 173.2808 27.5119 0.6395E+14
174.7211 43.8581 154.3385 0.6394E+14
34.6967 102.8156 42.3805 0.6391E+14
126.1330 184.0955 162.3078 0.6388E+14
163.1793 178.6686 140.2667 0.6377E+14
198.6482 142.4592 114.9640 0.6376E+14
84.6441 170.8065 27.1978 0.6372E+14
73.1636 60.8949 11.6032 0.6371E+14
84.1567 53.2385 73.7000 0.6366E+14
34.7290 182.4076 106.6565 0.6364E+14
156.2401 138.4660 4.9172 0.6356E+14
152.0977 149.6432 33.9123 0.6349E+14
190.2982 54.7434 47.8891 0.6340E+14
160.5379 194.4061 118.0869 0.6311E+14
12.6428 49.2917 44.1752 0.6308E+14
113.6085 7.3013 78.9865 0.6303E+14
51.2166 180.0982 188.5892 0.6290E+14
44.4010 1.1754 170.4426 0.6282E+14
51.5715 94.9084 161.6935 0.6275E+14
60.8324 48.0824 38.1966 0.6268E+14
138.5229 51.1084 96.6566 0.6255E+14
71.8190 155.2414 129.4633 0.6249E+14
30.4355 52.0874 104.7008 0.6239E+14
93.8944 120.1617 100.9906 0.6238E+14
163.8825 69.5691 136.4002 0.6237E+14
37.0583 116.3818 114.1841 0.6208E+14
108.2700 43.4931 73.6830 0.6168E+14
17.9395 185.3002 191.0879 0.6164E+14
132.8267 192.8050 165.3095 0.6157E+14
3.2215 92.1381 137.8473 0.6154E+14
16.0765 146.9265 83.3820 0.6135E+14
76.6713 55.3705 59.6784 0.6135E+14
179.3364 136.4151 32.6414 0.6135E+14
70.8004 124.2202 56.0327 0.6124E+14
59.4819 14.3480 13.5256 0.6120E+14
183.8131 37.3765 46.7770 0.6119E+14
